case channel_SA
iterations 10703
converged True
elapsed_time 382.728594
final_error_u 9.9997676933088640e-04
final_error_p 1.7320508082934705e-08
final_error_nu_tilde 1.7320544960106598e-08
inflow_flux -6.3680718972004158e+01
outflow_flux 6.3680718972042129e+01
net_flux 3.7971403799019754e-11
rel_imbalance 2.9813893759351031e-13
area_in 1.9999999999999996e+00
area_out 2.0000000000000000e+00
